"Goal" "word" "n" "tf" "idf" "tf_idf"
"1" 1 "poverty" 9 0.0292207792207792 1.73460105538811 0.0506863944756265
"2" 1 "living" 6 0.0194805194805195 1.73460105538811 0.0337909296504177
"3" 1 "dimensions" 3 0.00974025974025974 2.83321334405622 0.0275962338706774
"4" 1 "poor" 6 0.0194805194805195 1.22377543162212 0.0238397811354958
"5" 1 "social" 5 0.0162337662337662 1.44691898293633 0.0234889445281871
"6" 1 "disaster" 4 0.012987012987013 1.73460105538811 0.0225272864336118
"7" 1 "ages" 2 0.00649350649350649 2.83321334405622 0.0183974892471183
"8" 1 "definitions" 2 0.00649350649350649 2.83321334405622 0.0183974892471183
"9" 1 "floors" 2 0.00649350649350649 2.83321334405622 0.0183974892471183
"10" 1 "pro" 2 0.00649350649350649 2.83321334405622 0.0183974892471183
"11" 1 "reduction" 5 0.0162337662337662 1.04145387482816 0.0169067187472104
"12" 1 "risk" 4 0.012987012987013 1.22377543162212 0.0158931874236638
"13" 1 "vulnerable" 4 0.012987012987013 1.22377543162212 0.0158931874236638
"14" 1 "disasters" 3 0.00974025974025974 1.44691898293633 0.0140933667169123
"15" 1 "extreme" 2 0.00649350649350649 2.14006616349627 0.0138965335291966
"16" 1 "tenure" 2 0.00649350649350649 2.14006616349627 0.0138965335291966
"17" 2 "food" 11 0.0308988764044944 2.14006616349627 0.0661256398833117
"18" 2 "agricultural" 8 0.0224719101123595 2.14006616349627 0.0480913744605903
"19" 2 "agriculture" 4 0.0112359550561798 2.83321334405622 0.0318338577983844
"20" 2 "prevalence" 5 0.0140449438202247 2.14006616349627 0.030057109037869
"21" 2 "export" 3 0.00842696629213483 2.83321334405622 0.0238753933487883
"22" 2 "plant" 3 0.00842696629213483 2.83321334405622 0.0238753933487883
"23" 2 "genetic" 3 0.00842696629213483 2.14006616349627 0.0180342654227214
"24" 2 "banks" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"25" 2 "deviation" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"26" 2 "height" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"27" 2 "hunger" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"28" 2 "insecurity" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"29" 2 "maintain" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"30" 2 "malnutrition" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"31" 2 "price" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"32" 2 "producers" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"33" 2 "round" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"34" 2 "standards" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"35" 2 "stunting" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"36" 2 "wasting" 2 0.00561797752808989 2.83321334405622 0.0159169288991922
"37" 3 "mortality" 12 0.0256959314775161 2.83321334405622 0.0728020559500527
"38" 3 "health" 20 0.0428265524625268 0.887303195000903 0.0380001368308738
"39" 3 "diseases" 6 0.012847965738758 2.83321334405622 0.0364010279750263
"40" 3 "medicines" 5 0.0107066381156317 2.83321334405622 0.0303341899791886
"41" 3 "communicable" 4 0.00856531049250535 2.83321334405622 0.0242673519833509
"42" 3 "vaccines" 4 0.00856531049250535 2.83321334405622 0.0242673519833509
"43" 3 "essential" 5 0.0107066381156317 1.73460105538811 0.0185717457750333
"44" 3 "births" 4 0.00856531049250535 2.14006616349627 0.0183303311648503
"45" 3 "alcohol" 3 0.00642398286937901 2.83321334405622 0.0182005139875132
"46" 3 "incidence" 3 0.00642398286937901 2.83321334405622 0.0182005139875132
"47" 3 "unsafe" 3 0.00642398286937901 2.83321334405622 0.0182005139875132
"48" 3 "rate" 9 0.019271948608137 0.887303195000903 0.0171000615738932
"49" 3 "reproductive" 3 0.00642398286937901 2.14006616349627 0.0137477483736377
"50" 4 "education" 20 0.056657223796034 0.887303195000903 0.0502721356941021
"51" 4 "skills" 5 0.0141643059490085 2.83321334405622 0.0401305006240257
"52" 4 "learning" 4 0.0113314447592068 2.83321334405622 0.0321044004992206
"53" 4 "secondary" 4 0.0113314447592068 2.83321334405622 0.0321044004992206
"54" 4 "vocational" 4 0.0113314447592068 2.83321334405622 0.0321044004992206
"55" 4 "primary" 6 0.0169971671388102 1.73460105538811 0.0294833040575882
"56" 4 "adults" 4 0.0113314447592068 2.14006616349627 0.0242500415127056
"57" 4 "training" 4 0.0113314447592068 1.73460105538811 0.0196555360383921
"58" 4 "youth" 4 0.0113314447592068 1.73460105538811 0.0196555360383921
"59" 4 "boys" 2 0.0056657223796034 2.83321334405622 0.0160522002496103
"60" 4 "literacy" 2 0.0056657223796034 2.83321334405622 0.0160522002496103
"61" 4 "lower" 2 0.0056657223796034 2.83321334405622 0.0160522002496103
"62" 4 "minimum" 2 0.0056657223796034 2.83321334405622 0.0160522002496103
"63" 4 "numeracy" 2 0.0056657223796034 2.83321334405622 0.0160522002496103
"64" 4 "proficiency" 2 0.0056657223796034 2.83321334405622 0.0160522002496103
